urls,top,id
https://stackoverflow.com/questions/40252885/how-to-syntax-highlight-inline-r-code-in-r-markdown,154,40252885
https://stackoverflow.com/questions/31200972/how-to-read-knitr-rmd-cache-in-interactive-session,155,31200972
https://stackoverflow.com/questions/34382869/how-to-make-part-of-rmarkdown-document-without-section-numbering,156,34382869
https://stackoverflow.com/questions/48976338/how-can-i-modifiy-the-positions-of-the-text-and-logo-on-rmarkdown-title-slide,157,48976338
https://stackoverflow.com/questions/37116632/r-markdown-html-number-figures,158,37116632
https://stackoverflow.com/questions/41655383/r-markdown-similar-feature-to-newcommand-in-latex,159,41655383
https://stackoverflow.com/questions/29440007/changing-word-template-for-knitr-in-rmarkdown,160,29440007
https://stackoverflow.com/questions/38138307/is-it-possible-to-host-interactive-r-markdown-files-on-github-pages,161,38138307
https://stackoverflow.com/questions/28032846/add-and-resize-a-local-image-to-a-rmd-file-in-rstudio-that-will-produce-a-pdf,162,28032846
https://stackoverflow.com/questions/26993254/how-to-get-chunk-name-in-knitr,163,26993254
https://stackoverflow.com/questions/24091735/why-pandoc-does-not-retrieve-the-image-file,164,24091735
https://stackoverflow.com/questions/23189012/how-do-i-suppress-the-warning-from-including-a-library-when-using-knitr-in-r,165,23189012
https://stackoverflow.com/questions/49503195/reticulate-running-python-chunks-in-rmarkdown,166,49503195
https://stackoverflow.com/questions/28894515/rmarkdown-directing-output-file-into-a-directory,167,28894515
https://stackoverflow.com/questions/28284319/images-pushed-off-slides-in-beamer-output-from-r-markdown,168,28284319
https://stackoverflow.com/questions/32492145/how-can-i-specify-pandocs-markdown-extensions-using-a-yaml-block,169,32492145
https://stackoverflow.com/questions/30212788/are-rcharts-and-dt-compatible-in-rmarkdown,170,30212788
https://stackoverflow.com/questions/33481271/how-to-wrap-code-and-the-output-in-markdown-rmd,171,33481271
https://stackoverflow.com/questions/26616202/how-to-solve-this-error-message-in-rmarkdown,172,26616202
https://stackoverflow.com/questions/29389149/add-image-in-title-page-of-rmarkdown-pdf,173,29389149
https://stackoverflow.com/questions/38333691/r-markdown-putting-an-image-in-the-top-right-hand-corner-of-html-and-moving-tit,174,38333691
https://stackoverflow.com/questions/25425993/data-frame-to-word-table,175,25425993
https://stackoverflow.com/questions/30938280/keyboard-shortcut-to-produce-code-chunk-brackets-in-markdown-in-r-for-rstudio,176,30938280
https://stackoverflow.com/questions/43239868/add-blank-line-to-word-output-rmarkdown,177,43239868
https://stackoverflow.com/questions/27114926/r-conditional-row-highlighting-in-html-table-created-using-xtable-or-kable,178,27114926
https://stackoverflow.com/questions/38367392/override-rmarkdown-theme-in-order-to-change-html-page-width,179,38367392
https://stackoverflow.com/questions/46136141/incorporating-interactive-shiny-apps-into-rmarkdown-document-for-blogdown-hugo-b,180,46136141
https://stackoverflow.com/questions/35671530/german-umlaut-characters-in-r-markdown,181,35671530
https://stackoverflow.com/questions/36674824/use-loop-to-generate-section-of-text-in-rmarkdown,182,36674824
https://stackoverflow.com/questions/49044753/scale-kable-table-to-fit-page-width,183,49044753
https://stackoverflow.com/questions/32944715/conditionally-display-block-of-markdown-text-using-knitr,184,32944715
https://stackoverflow.com/questions/31463143/pass-parameters-from-command-line-into-r-markdown-document,185,31463143
https://stackoverflow.com/questions/28748301/how-can-i-left-align-latex-equations-in-r-markdown,186,28748301
https://stackoverflow.com/questions/23570718/creating-summaries-at-the-top-of-a-knitr-report-that-use-variables-that-are-defi,187,23570718
https://stackoverflow.com/questions/40699550/how-to-format-a-complex-table-for-rmarkdown-pdf-output,188,40699550
https://stackoverflow.com/questions/15010732/caption-in-the-html-output-of-knitr,189,15010732
https://stackoverflow.com/questions/15251751/adding-an-image-to-title-slide-using-slidify,190,15251751
https://stackoverflow.com/questions/40268152/plotly-as-png-in-knitr-rmarkdown,191,40268152
https://stackoverflow.com/questions/31037907/how-to-build-a-pdf-vignette-in-r-and-rstudio,192,31037907
https://stackoverflow.com/questions/38517236/youtube-video-in-r-markdown,193,38517236
https://stackoverflow.com/questions/35945728/ms-word-track-changes-and-rmarkdown,194,35945728
https://stackoverflow.com/questions/37124951/animate-second-level-bullet-points-in-slidify,195,37124951
https://stackoverflow.com/questions/47900037/cran-notes-that-files-cannot-be-checked-without-pandoc-being-installed,196,47900037
https://stackoverflow.com/questions/42024921/why-does-kable-not-print-when-used-within-a-function-in-rmarkdown,197,42024921
https://stackoverflow.com/questions/33287556/rmarkdown-ioslides-allowframebreaks-alternative,198,33287556
https://stackoverflow.com/questions/29269420/achieving-consistent-figure-font-sizes-with-knitr-html-markdown-and-pdf-latex,199,29269420
https://stackoverflow.com/questions/28264786/create-an-rmarkdown-beamerposter-template,200,28264786
https://stackoverflow.com/questions/44101055/changing-font-size-in-r-datatables-dt,201,44101055
https://stackoverflow.com/questions/34137797/rmarkdown-run-code-and-display-errors-in-document,202,34137797
https://stackoverflow.com/questions/51020181/r-markdown-hide-spoiler-text-hover-over-text-element,203,51020181
https://stackoverflow.com/questions/29152082/insert-a-linebreak-in-title,204,29152082
https://stackoverflow.com/questions/44113759/note-or-warning-from-package-check-when-readme-md-includes-images,205,44113759
https://stackoverflow.com/questions/43222169/how-to-justify-the-text-to-both-sides-when-knitting-html-in-rmarkdown,206,43222169
https://stackoverflow.com/questions/42694376/rmarkdown-beamer-169-aspect-ratio,207,42694376
https://stackoverflow.com/questions/29080642/rmarkdown-how-to-change-headline-in-table-of-contents-in-r-markdown,208,29080642
https://stackoverflow.com/questions/53064555/how-to-make-scrollable-slides-in-an-ioslides-presentation-with-rmarkdown,209,53064555
https://stackoverflow.com/questions/31064353/how-to-make-a-figure-caption-in-rmarkdown,210,31064353
https://stackoverflow.com/questions/25819539/how-to-add-an-interactive-visualization-to-r-markdown,211,25819539
https://stackoverflow.com/questions/40414270/r-how-to-center-output-in-r-markdown,212,40414270
https://stackoverflow.com/questions/34066200/error-43-while-knitting-a-r-markdown-to-pdf-on-rstudio-on-windows,213,34066200
https://stackoverflow.com/questions/40819213/r-bookdown-bookdown-yml,214,40819213
https://stackoverflow.com/questions/22329685/how-to-display-line-numbers-for-code-chunks-in-rmarkdown-html-and-pdf,215,22329685
https://stackoverflow.com/questions/56388141/flextable-in-rmarkdown-docx-not-printing-within-if-statement-if-other-text,216,56388141
https://stackoverflow.com/questions/52724682/use-rmarkdownrender-in-a-restricted-environment,217,52724682
https://stackoverflow.com/questions/42394244/rstudio-knit-button-fail-to-load-rjava,218,42394244
https://stackoverflow.com/questions/32748248/watermark-in-rmarkdown,219,32748248
https://stackoverflow.com/questions/41143295/using-tikz-in-html-document-using-rmarkdown,220,41143295
https://stackoverflow.com/questions/39671612/how-to-type-tilde-in-formulas-in-rmarkdown,221,39671612
https://stackoverflow.com/questions/36989320/how-can-i-explicitly-set-column-width-for-r-dt-tables-using-r-markdown,222,36989320
https://stackoverflow.com/questions/40213519/how-to-output-literal-backticks-in-knitrspin,223,40213519
https://stackoverflow.com/questions/39281266/use-internal-links-in-rmarkdown-html-output,224,39281266
https://stackoverflow.com/questions/27992239/knitr-include-figures-in-report-and-output-figures-to-separate-files,225,27992239
https://stackoverflow.com/questions/41196823/embed-csv-in-html-rmarkdown,226,41196823
https://stackoverflow.com/questions/47290659/how-can-we-pass-pandoc-args-to-yaml-header-in-rmarkdown,227,47290659
https://stackoverflow.com/questions/42630248/collapsing-hiding-figures-in-r-markdown,228,42630248
https://stackoverflow.com/questions/29508059/how-to-add-multiple-figures-across-multiple-pages-in-a-chunk-using-knitr-and-rma,229,29508059
https://stackoverflow.com/questions/36845178/width-of-r-code-chunk-output-in-rmarkdown-files-knitr-ed-to-html,230,36845178
https://stackoverflow.com/questions/43752095/programmatically-insert-header-and-plot-in-same-code-chunk-with-r-markdown-using,231,43752095
https://stackoverflow.com/questions/25782595/rmarkdown-ioslides-presentation-in-hd,232,25782595
https://stackoverflow.com/questions/30509866/for-loop-over-dygraph-does-not-work-in-r,233,30509866
https://stackoverflow.com/questions/50565439/how-to-prevent-blogdown-from-rerendering-all-posts,234,50565439
https://stackoverflow.com/questions/48161177/r-markdown-openbinaryfile-does-not-exist-no-such-file-or-directory,235,48161177
https://stackoverflow.com/questions/45857934/executing-perl-6-code-in-rmarkdown,236,45857934
https://stackoverflow.com/questions/32841221/add-sparkline-graph-to-a-table,237,32841221
https://stackoverflow.com/questions/30476119/plot-animation-in-knitr-rmarkdown,238,30476119
https://stackoverflow.com/questions/28625025/add-beamer-frame-options-in-knitr-rmarkdown,239,28625025
https://stackoverflow.com/questions/27048437/how-can-i-insert-page-number-to-rmarkdown-beamer-slides,240,27048437
https://stackoverflow.com/questions/40272489/export-r-shiny-page-to-pdf,241,40272489
https://stackoverflow.com/questions/49707298/how-to-get-a-second-bibliography,242,49707298
https://stackoverflow.com/questions/25791967/convert-rstudio-presentation-rpres-to-rmarkdown-presentation-rmd,243,25791967
https://stackoverflow.com/questions/14085072/automated-text-for-reproducible-research,244,14085072
https://stackoverflow.com/questions/46850633/why-does-ggplot-not-allow-suppressing-of-messages-generated-by-its-geoms,245,46850633
https://stackoverflow.com/questions/43588361/inserting-a-pdf-before-the-bookdown-frontpage,246,43588361
https://stackoverflow.com/questions/13793858/jekyll-converter-for-r-markdown,247,13793858
https://stackoverflow.com/questions/48695602/is-it-possible-to-define-a-letterhead-header-in-rmarkdown,248,48695602
https://stackoverflow.com/questions/40932462/controlling-placement-of-figures-with-the-knitrinclude-graphics-function,249,40932462
https://stackoverflow.com/questions/21126776/multi-line-equation-in-rmarkdown,250,21126776
https://stackoverflow.com/questions/34436515/how-do-i-access-the-data-from-a-file-passed-as-parameters-in-a-rmarkdown-documen,251,34436515
https://stackoverflow.com/questions/51432502/replace-column-names-in-kable-r-markdown,252,51432502
https://stackoverflow.com/questions/46171362/rmarkdown-error-attempt-to-use-zero-length-variable-name,253,46171362
https://stackoverflow.com/questions/32024013/cant-change-params-in-rmd-documents,254,32024013
https://stackoverflow.com/questions/52706006/accessing-yaml-parameters-as-macros-within-external-latex-files,255,52706006
https://stackoverflow.com/questions/41532707/include-rmd-appendix-after-references,256,41532707
https://stackoverflow.com/questions/44670712/knitr-print-text-from-code-block-as-r-markdown,257,44670712
https://stackoverflow.com/questions/27444804/some-figure-captions-from-rmarkdown-not-showing,258,27444804
https://stackoverflow.com/questions/26881866/resizing-images-in-rmarkdown,259,26881866
https://stackoverflow.com/questions/41237664/reduce-file-size-of-r-markdown-html-output,260,41237664
https://stackoverflow.com/questions/35677857/references-truncated-in-beamer-presentation-prepared-in-knitr-rmarkdown,261,35677857
https://stackoverflow.com/questions/22649124/reference-package-vignettes-with-roxygen2,262,22649124
https://stackoverflow.com/questions/14695892/change-code-block-color-in-knitr-markdown,263,14695892
https://stackoverflow.com/questions/40778333/how-to-convert-r-reveal-js-presentation-to-pdf,264,40778333
https://stackoverflow.com/questions/53724834/why-does-the-plot-size-differ-between-docx-and-html-in-rmarkdownrender,265,53724834
https://stackoverflow.com/questions/48247787/how-to-change-caption-label-names-in-a-single-document-with-bookdown,266,48247787
https://stackoverflow.com/questions/45206908/kableextra-dynamic-add-header-above-labeling,267,45206908
https://stackoverflow.com/questions/29370306/how-to-render-html-from-rmarkdown-without-javascript-in-output,268,29370306
https://stackoverflow.com/questions/22954623/view-markdown-generated-html-in-rstudio-viewer,269,22954623
https://stackoverflow.com/questions/55009313/how-to-use-cairo-pngs-in-r-markdown,270,55009313
https://stackoverflow.com/questions/47340955/change-color-of-error-messages-in-rmarkdown-code-output-html-pdf,271,47340955
https://stackoverflow.com/questions/46201753/rmarkdown-indentation-of-toc-items-in-html-output,272,46201753
https://stackoverflow.com/questions/43594039/dt-package-not-working-with-blogdown-using-hugo-future-imperfect-theme,273,43594039
https://stackoverflow.com/questions/43527520/r-markdown-yaml-scanner-error-mapping-values,274,43527520
https://stackoverflow.com/questions/25587773/how-to-change-the-position-of-the-table-of-contents-in-rmarkdown,275,25587773
https://stackoverflow.com/questions/20942466/creating-good-kable-output-in-rstudio,276,20942466
https://stackoverflow.com/questions/13004001/plots-in-beamer-slides-converted-from-md-by-pandoc-are-extremely-large,277,13004001
https://stackoverflow.com/questions/39497696/rmarkdown-to-latex,278,39497696
https://stackoverflow.com/questions/33040427/evaluate-inline-r-code-in-rmarkdown-figure-caption,279,33040427
https://stackoverflow.com/questions/28962651/inserting-title-page-with-image-in-rmarkdown-to-render-a-pdf-document,280,28962651
https://stackoverflow.com/questions/27702019/how-to-keep-all-rows-of-a-table-on-the-same-page-in-rmarkdown-when-rendering-a-p,281,27702019
https://stackoverflow.com/questions/32405433/text-editor-support-for-rmarkdown-documents,282,32405433
https://stackoverflow.com/questions/28835491/automatically-scale-font-size-etc-of-ggplot2-inside-an-rmarkdown-document,283,28835491
